Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,# of Delays.Carrier,# of Delays.Late Aircraft,# of Delays.National Aviation System,# of Delays.Security,# of Delays.Weather,Statistics.Carriers.Names,Carriers.Total,Flights.Cancelled,Flights.Delayed,Flights.Diverted,Flights.On Time,Flights.Total,Minutes Delayed.Carrier,Minutes Delayed.Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed.Security,Minutes Delayed.Total,Minutes Delayed.Weather,Rate,Ratio_Rank
LAS,"Las Vegas, NV: McCarran International",2014/05,1,May,2014,3,3,1,0,1,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",1,1,2,1,2,2,2,3,1,0,2,1,0.790734164670906,2.0
LAX,"Los Angeles, CA: Los Angeles International",2014/05,1,May,2014,3,3,3,2,3,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",2,2,3,1,3,3,3,3,2,3,3,2,0.7869392800123604,2.0
LGA,"New York, NY: LaGuardia",2014/05,1,May,2014,1,1,3,0,2,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,3,2,3,1,1,2,2,3,0,3,2,0.6736493936052922,3.0
MCO,"Orlando, FL: Orlando International",2014/05,1,May,2014,2,2,1,2,1,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,1,2,2,2,1,2,2,1,3,2,1,0.7808818930470135,2.0
MDW,"Chicago, IL: Chicago Midway International",2014/05,1,May,2014,2,2,0,1,2,"Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,Southwest Airlines Co.",0,1,2,3,0,1,1,2,1,2,2,3,0.7241379310344828,2.0
MIA,"Miami, FL: Miami International",2014/05,1,May,2014,0,0,0,0,1,"American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.",0,1,0,3,1,0,1,1,1,2,1,1,0.8254769921436588,1.0
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2014/05,1,May,2014,1,1,0,1,1,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,1,1,2,1,1,2,1,1,1,1,2,0.8369331674771006,1.0
ORD,"Chicago, IL: Chicago O'Hare International",2014/05,1,May,2014,3,3,3,3,3,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",0,3,3,3,3,3,3,3,3,2,3,3,0.6525127872046764,3.0
PDX,"Portland, OR: Portland International",2014/05,1,May,2014,0,0,0,0,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,0,0,0,0,0,0,0,0,0,0,0.824285122254455,1.0
PHL,"Philadelphia, PA: Philadelphia International",2014/05,1,May,2014,1,0,1,0,1,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,0,2,0,0,1,0,2,1,1,1,0.7910633660283357,2.0
